"id","left_name","right_name","left_odds","right_odds","weight_class","date","fight_id"
1235,"Caio Borralho","Gadzhi Omargadzhiev",100,-120,"185","2022-04-16",1069
2477,"Tyson Nam","Jerome Rivera",-195,165,"135","2020-09-19",1915
3420,"Alonzo Menifield","Vinicius Moreira",-310,240,"205","2019-01-19",2729
4230,"Alex Caceres","Rolando Dy",-290,240,"145","2017-06-17",3482
5181,"Joseph Benavidez","Zach Makovsky",-425,345,"125","2016-02-06",4111
5974,"Russell Doane","Marcus Brimage",105,-125,"135","2014-07-05",4884
6949,"Iuri Alcântara","Michihiro Omigawa",-200,170,"145","2012-01-14",5858
7715,"John Hathaway","Tom Egan",-250,195,"170","2009-01-17",6651
2720,"Luis Pena","Steve Garcia",-265,205,"155","2020-02-29",2154
1245,"Jordan Leavitt","Trey Ogden",115,-140,"155","2022-04-16",1079
2489,"Sabina Mazo","Justine Kish",-230,190,"125","2020-09-12",1927
3432,"Petr Yan","Douglas Silva de Andrade",-355,285,"135","2018-12-29",2741
4241,"Alexander Volkanovski","Mizuto Hirota",-700,500,"145","2017-06-10",3493
6709,"Jon Jones","Vitor Belfort",-875,615,"205","2012-09-22",5618
5987,"Diego Ferreira","Colton Smith",-215,180,"155","2014-06-28",4897
6977,"Tony Ferguson","Yves Edwards",-410,310,"155","2011-12-03",5886
7726,"Antoni Hardonk","Mike Wessel",-336,276,"265","2008-12-27",6662
3021,"Alexander Hernandez","Francisco Trinaldo",-240,190,"155","2019-07-20",2455
1247,"Alatengheili","Kevin Croom",-180,155,"135","2022-04-16",1081
2499,"Alexa Grasso","Ji Yeon Kim",-285,245,"125","2020-08-29",1937
3439,"Edson Barboza","Dan Hooker",100,-125,"155","2018-12-15",2748
4255,"Brian Kelleher","Iuri Alcântara",300,-400,"135","2017-06-03",3507
5203,"Jimmie Rivera","Iuri Alcântara",-160,135,"135","2016-01-30",4122
6001,"Gian Villante","Sean O'Connell",-300,240,"205","2014-06-28",4911
7001,"Darren Uyenoyama","Norifumi Yamamoto",320,-420,"135","2011-11-12",5910
7736,"Eliot Marshall","Jules Bruchez",-601,451,"205","2008-12-13",6672
3242,"Alexander Volkanovski","José Aldo",110,-140,"145","2019-05-11",2551
1260,"Curtis Blaydes","Chris Daukaus",-510,375,"265","2022-03-26",1094
2510,"Shana Dobson","Mariya Agapova",950,-1400,"125","2020-08-22",1948
3445,"Jack Hermansson","Gerald Meerschaert",-165,135,"185","2018-12-15",2754
4269,"Darren Till","Jessin Ayari",-300,220,"170","2017-05-28",3521
5211,"Randy Brown","Matt Dwyer",-140,120,"170","2016-01-30",4130
6005,"Andrei Arlovski","Brendan Schaub",145,-155,"265","2014-06-14",4915
7026,"Clifford Starks","Dustin Jacoby",-105,-125,"185","2011-10-29",5935
7747,"Ben Saunders","Brandon Wolff",-351,321,"170","2008-12-10",6683
3912,"Valentina Shevchenko","Priscila Cachoeira",-1000,650,"125","2018-02-03",3164
1271,"Luis Saldaña","Bruno Souza",115,-135,"145","2022-03-26",1105
2523,"Danny Chavez","TJ Brown",105,-135,"145","2020-08-15",1961
3460,"Dhiego Lima","Chad Laprise",305,-395,"170","2018-12-08",2769
4282,"Gadzhimurad Antigulov","Joachim Christensen",-385,315,"205","2017-05-13",3534
5213,"Anthony Rocco Martin","Felipe Olivieri",-160,135,"155","2016-01-30",4132
6010,"Tae Hyun Bang","Kajan Johnson",155,-185,"155","2014-06-14",4920
7042,"Yves Edwards","Rafaello Oliveira",-160,135,"155","2011-10-01",5951
7759,"Anderson Silva","Patrick Cote",-613,413,"185","2008-10-25",6695
4800,"Marco Beltran","Reginaldo Vieira",105,-125,"135","2016-07-07",3957
1283,"Muhammad Mokaev","Cody Durden",-500,380,"125","2022-03-19",1117
2538,"Irwin Rivera","Ali AlQaisi",-185,150,"135","2020-08-08",1976
3471,"Keita Nakamura","Salim Touahri",-165,135,"170","2018-12-01",2780
4300,"Alexander Volkov","Roy Nelson",-155,135,"265","2017-04-15",3552
5231,"Abel Trujillo","Tony Sims",135,-160,"155","2016-01-02",4150
6021,"Scott Jorgensen","Danny Martinez",-260,220,"125","2014-06-07",4931
7054,"Tim Boetsch","Nick Ring",-195,170,"185","2011-09-24",5963
7760,"Thiago Alves","Josh Koscheck",-105,-125,"170","2008-10-25",6696
6830,"Mike Brown","Daniel Pineda",-120,-110,"145","2012-05-26",5739
3012,"Hakeem Dawodu","Yoshinori Horie",-400,300,"145","2019-07-27",2446
2549,"Fabrício Werdum","Alexander Gustafsson",230,-300,"265","2020-07-25",1987
3485,"Roosevelt Roberts","Darrell Horcher",-370,280,"155","2018-11-30",2794
4310,"Gegard Mousasi","Chris Weidman",-115,-105,"185","2017-04-08",3562
5242,"Karolina Kowalkiewicz","Randa Markos",165,-195,"115","2015-12-19",4161
6041,"Magnus Cedenblad","Krzysztof Jotko",-115,-105,"185","2014-05-31",4951
7060,"Erik Koch","Jonathan Brookins",-215,175,"145","2011-09-17",5969
7765,"Spencer Fisher","Shannon Gugerty",-316,286,"155","2008-10-25",6701
5123,"Mairbek Taisumov","Damir Hadžović",-315,265,"155","2016-04-10",4053
3030,"Germaine de Randamie","Aspen Ladd",105,-135,"135","2019-07-13",2464
2561,"Nathaniel Wood","John Castañeda",-410,330,"135","2020-07-25",1999
3504,"Marlon Vera","Guido Cannetti",-315,235,"135","2018-11-17",2813
4322,"Jimi Manuwa","Corey Anderson",-145,125,"205","2017-03-18",3574
5261,"Magomed Mustafaev","Joe Proctor",-400,300,"155","2015-12-12",4180
6052,"Tony Ferguson","Katsunori Kikuno",-330,270,"155","2014-05-24",4962
7073,"Antônio Rodrigo Nogueira","Brendan Schaub",215,-255,"265","2011-08-27",5982
7778,"Jim Miller","David Baron",-180,155,"155","2008-10-18",6714
5708,"Shawn Jordan","Jared Cannonier",-185,155,"265","2015-01-03",4627
3039,"Jonathan Martinez","Pingyuan Liu",175,-225,"135","2019-07-13",2473
2573,"Serghei Spivac","Carlos Felipe",-200,160,"265","2020-07-18",2011
3514,"Germaine de Randamie","Raquel Pennington",-210,175,"135","2018-11-10",2823
4329,"Leon Edwards","Vicente Luque",105,-125,"170","2017-03-18",3581
5273,"Chris Gruetzemacher","Abner Lloveras",-150,130,"155","2015-12-11",4192
6066,"Zak Cummings","Yan Cabral",450,-600,"170","2014-05-10",4976
7089,"Ronny Markes","Karlos Vémola",190,-235,"205","2011-08-14",5998
7787,"Jason Brilz","Brad Morris",-250,205,"205","2008-09-17",6723
5737,"Charles Oliveira","Jeremy Stephens",150,-175,"145","2014-12-12",4656
1759,"Joaquin Buckley","Abdul Razak Alhassan",-150,130,"185","2022-02-19",1160
2585,"Modestas Bukauskas","Andreas Michailidis",-145,115,"205","2020-07-15",2019
3531,"Sheymon Moraes","Julio Arce",215,-265,"145","2018-11-03",2840
4339,"Kevin Lee","Francisco Trinaldo",-185,150,"155","2017-03-11",3591
5286,"Benson Henderson","Jorge Masvidal",-220,185,"170","2015-11-28",4205
6079,"Danny Castillo","Charlie Brenneman",-380,270,"155","2014-04-26",4989
7099,"Alexander Gustafsson","Matt Hamill",-150,125,"205","2011-08-06",6035
7795,"Kurt Pellegrino","Thiago Tavares",221,-261,"155","2008-09-06",6731
5738,"Daron Cruickshank","KJ Noons",-220,170,"155","2014-12-12",4657
1752,"Jonathan Martinez","Alejandro Perez",-300,235,"145","2022-02-26",1153
2603,"Mike Perry","Mickey Gall",-335,255,"170","2020-06-27",2037
3538,"Misha Cirkunov","Patrick Cummins",-355,280,"205","2018-10-27",2847
4349,"Alistair Overeem","Mark Hunt",-125,120,"265","2017-03-04",3601
5304,"Bartosz Fabiński","Hector Urbina",-180,155,"170","2015-11-21",4223
6092,"Mirsad Bektić","Chas Skelly",-145,125,"145","2014-04-19",5002
7115,"Jeff Hougland","Donny Walker",155,-175,"135","2011-07-02",6051
7809,"Anderson Silva","James Irvin",-505,413,"205","2008-07-19",6745
5739,"Yancy Medeiros","Joe Proctor",-275,235,"155","2014-12-12",4658
1783,"Shavkat Rakhmonov","Carlston Harris",-270,220,"170","2022-02-05",1184
2611,"Youssef Zalal","Jordan Griffin",-140,110,"145","2020-06-27",2045
3549,"Khabib Nurmagomedov","Conor McGregor",-215,175,"155","2018-10-06",2858
4359,"Elias Theodorou","Cezar Ferreira",-115,-105,"185","2017-02-19",3611
5310,"Holly Holm","Ronda Rousey",830,-1400,"135","2015-11-14",4229
6104,"Nordine Taleb","Vik Grujic",-240,200,"185","2014-04-16",5014
7126,"Michael Johnson","Edward Faaloloto",-560,430,"155","2011-06-26",6062
7823,"Josh Koscheck","Chris Lytle",-318,263,"170","2008-07-05",6759
