"id","name","weight","height","reach","stance","date_of_birth","gender"
1601,"Pingyuan Liu",135,66,72,"Orthodox","1993-02-13","male"
1602,"Luana Pinheiro",115,62,62,"Orthodox","1992-11-18","female"
1603,"Gaetano Pirrello",135,67,65,"Orthodox","1992-04-29","male"
1604,"Maki Pitolo",185,70,75,"Orthodox","1990-11-24","male"
1605,"Jamal Pogues",205,75,77,"Orthodox","1995-12-01","male"
1606,"Dustin Poirier",155,69,72,"Southpaw","1989-01-19","male"
1607,"Igor Pokrajac",205,72,74,"Orthodox","1979-01-02","male"
1609,"Santiago Ponzinibbio",170,72,73,"Orthodox","1986-09-26","male"
1610,"Grigory Popov",135,67,68,"Switch","1984-04-18","male"
1611,"Parker Porter",265,72,75,"Orthodox","1985-04-22","male"
1612,"Ihor Potieria",205,75,75,"Southpaw","1996-05-29","male"
1613,"Callan Potter",170,72,72,"Orthodox","1984-06-09","male"
1615,"Ruan Potts",247,74,75,"Orthodox","1978-02-23","male"
1616,"Devin Powell",155,72,73,"Orthodox","1988-03-01","male"
1617,"Marcin Prachnio",205,75,74,"Orthodox","1988-07-14","male"
1618,"Wagner Prado",205,72,74,"Southpaw","1986-12-30","male"
1619,"Francisco Prado",155,70,69,"Orthodox","2002-06-16","male"
1620,"Trevor Prangley",185,73,75,"Orthodox","1972-08-24","male"
1622,"Carlo Prater",155,71,72,"Switch","1981-06-25","male"
1623,"Michel Prazeres",170,66,67,"Orthodox","1981-07-25","male"
1624,"Kyle Prepolec",170,70,70,"Southpaw","1989-08-30","male"
1625,"Niko Price",170,72,76,"Orthodox","1989-09-29","male"
1626,"Jiri Prochazka",205,75,80,"Orthodox","1992-10-14","male"
1627,"Lara Procopio",125,64,67,"Orthodox","1995-11-14","female"
1628,"Joe Proctor",155,70,72,"Orthodox","1985-08-10","male"
1630,"Lucie Pudilova",135,68,67,"Orthodox","1994-06-13","female"
1631,"Claudio Puelles",155,70,72,"Southpaw","1996-04-21","male"
1633,"Jens Pulver",145,67,70,"Southpaw","1974-12-06","male"
1634,"CM Punk",170,73,73,"Orthodox","1978-10-26","male"
1635,"Joe Pyfer",185,74,75,"Orthodox","1996-09-17","male"
1636,"Mike Pyle",170,72,74,"Orthodox","1975-09-18","male"
1638,"Billy Quarantillo",145,70,70,"Orthodox","1988-12-08","male"
1639,"Nate Quarry",185,72,72,"Open Stance","1972-03-18","male"
1640,"Josh Quinlan",170,72,72,"Orthodox","1993-02-06","male"
1641,"Michel Quinones",155,70,73,"Orthodox","1984-12-22","male"
1642,"Jose Quinonez",135,68,69,"Southpaw","1990-07-28","male"
1643,"Cristian Quinonez",135,68,70,"Orthodox","1996-04-26","male"
1644,"Loik Radzhabov",155,71,69,"Orthodox","1990-09-17","male"
1645,"Ricky Rainey",170,73,77,"Switch","1983-06-29","male"
1646,"Shavkat Rakhmonov",170,73,77,"Orthodox","1994-10-23","male"
1647,"Aleksandar Rakic",205,76,78,"Orthodox","1992-02-06","male"
1648,"Ricardo Ramos",145,69,72,"Orthodox","1995-08-01","male"
1649,"Davi Ramos",155,66,70,"Orthodox","1986-11-05","male"
